id,category,difficulty,text_en,text_pt,question_en,question_pt,option_a_en,option_a_pt,option_b_en,option_b_pt,option_c_en,option_c_pt,option_d_en,option_d_pt,option_e_en,option_e_pt,correct_answer,explanation_en,explanation_pt
1,Reading Comprehension - News Article,Medium,"Climate change is accelerating faster than previously predicted. Scientists warn that without immediate action, global temperatures could rise by 3°C by 2050, causing devastating impacts on ecosystems worldwide.","A mudança climática está acelerando mais rápido do que previsto anteriormente. Cientistas alertam que sem ação imediata, as temperaturas globais podem subir 3°C até 2050, causando impactos devastadores nos ecossistemas mundiais.",What is the main concern expressed in the text?,Qual é a principal preocupação expressa no texto?,The cost of climate research,O custo da pesquisa climática,The rapid pace of climate change,O ritmo acelerado da mudança climática,The difficulty in predicting weather,A dificuldade em prever o tempo,The lack of scientific consensus,A falta de consenso científico,The benefits of warmer temperatures,Os benefícios de temperaturas mais quentes,B,The text emphasizes that climate change is accelerating faster than predicted and warns about temperature rise.,O texto enfatiza que a mudança climática está acelerando mais rápido do que o previsto e alerta sobre o aumento da temperatura.
2,Vocabulary - Technology,Easy,The new smartphone app allows users to track their daily habits and improve productivity through smart notifications and reminders.,O novo aplicativo de smartphone permite aos usuários rastrear seus hábitos diários e melhorar a produtividade através de notificações inteligentes e lembretes.,"In the context, the word 'track' means:","No contexto, a palavra 'track' significa:",Delete or remove,Deletar ou remover,Monitor or follow,Monitorar ou acompanhar,Ignore or disregard,Ignorar ou desconsiderar,Share with others,Compartilhar com outros,Create from scratch,Criar do zero,B,'Track' in this context means to monitor or follow progress over time.,'Track' neste contexto significa monitorar ou acompanhar o progresso ao longo do tempo.
3,Cultural Text - Social Media,Medium,"Social media has transformed how we communicate, but experts warn about its impact on mental health. Studies show that excessive use can lead to anxiety, depression, and sleep problems, especially among teenagers.","As redes sociais transformaram como nos comunicamos, mas especialistas alertam sobre seu impacto na saúde mental. Estudos mostram que o uso excessivo pode levar a ansiedade, depressão e problemas de sono, especialmente entre adolescentes.","According to the text, what is the main concern about social media?","De acordo com o texto, qual é a principal preocupação sobre as redes sociais?",It improves communication skills,Melhora as habilidades de comunicação,It's too expensive to use,É muito caro de usar,Its negative effects on mental health,Seus efeitos negativos na saúde mental,It requires too much technical knowledge,Requer muito conhecimento técnico,It's only popular among adults,É popular apenas entre adultos,C,"The text warns about social media's negative impact on mental health, including anxiety and depression.","O texto alerta sobre o impacto negativo das redes sociais na saúde mental, incluindo ansiedade e depressão."
4,Reading Comprehension - Education,Easy,"Online learning has become increasingly popular. Students can now access courses from top universities worldwide without leaving their homes, making education more accessible than ever before.","O aprendizado online tornou-se cada vez mais popular. Estudantes agora podem acessar cursos de universidades de ponta mundialmente sem sair de casa, tornando a educação mais acessível do que nunca.",The main advantage of online learning mentioned is:,A principal vantagem do aprendizado online mencionada é:,It's more expensive,É mais caro,It requires special equipment,Requer equipamento especial,Greater accessibility to education,Maior acessibilidade à educação,It's only for young people,É apenas para jovens,It replaces all traditional schools,Substitui todas as escolas tradicionais,C,The text emphasizes that online learning makes education more accessible to everyone.,O texto enfatiza que o aprendizado online torna a educação mais acessível a todos.
5,Text Interpretation - Advertisement,Medium,JOIN THE GREEN REVOLUTION! Reduce your carbon footprint today. Our eco-friendly products help you live sustainably while saving money. Shop now and get 20% off your first purchase!,JUNTE-SE À REVOLUÇÃO VERDE! Reduza sua pegada de carbono hoje. Nossos produtos ecológicos ajudam você a viver de forma sustentável enquanto economiza dinheiro. Compre agora e ganhe 20% de desconto na primeira compra!,The primary purpose of this text is to:,O objetivo principal deste texto é:,Educate about climate science,Educar sobre ciência climática,Promote and sell eco-friendly products,Promover e vender produtos ecológicos,Criticize consumer behavior,Criticar o comportamento do consumidor,Report environmental news,Reportar notícias ambientais,Teach sustainable practices,Ensinar práticas sustentáveis,B,This is an advertisement designed to sell eco-friendly products with a promotional discount.,Este é um anúncio projetado para vender produtos ecológicos com desconto promocional.
6,Grammar - Verb Tenses,Easy,"By the time you arrive, I will have finished preparing dinner.","Quando você chegar, eu terei terminado de preparar o jantar.",The verb tense used in 'will have finished' is:,O tempo verbal usado em 'will have finished' é:,Simple future,Futuro simples,Future perfect,Futuro perfeito,Present perfect,Presente perfeito,Past perfect,Passado perfeito,Present continuous,Presente contínuo,B,"'Will have finished' is future perfect, indicating an action that will be completed before a specific time in the future.","'Will have finished' é futuro perfeito, indicando uma ação que será completada antes de um tempo específico no futuro."
7,Reading Comprehension - Health,Medium,"Regular exercise not only improves physical health but also boosts mental well-being. Research shows that just 30 minutes of moderate activity daily can reduce stress, improve mood, and enhance cognitive function.","Exercício regular não apenas melhora a saúde física mas também aumenta o bem-estar mental. Pesquisas mostram que apenas 30 minutos de atividade moderada diária podem reduzir estresse, melhorar o humor e aumentar a função cognitiva.","According to the text, exercise benefits:","De acordo com o texto, o exercício beneficia:",Only physical health,Apenas a saúde física,Only mental health,Apenas a saúde mental,Both physical and mental health,Tanto a saúde física quanto mental,Neither physical nor mental health,Nem a saúde física nem mental,Only cognitive function,Apenas a função cognitiva,C,The text clearly states that exercise improves both physical health and mental well-being.,O texto declara claramente que o exercício melhora tanto a saúde física quanto o bem-estar mental.
8,Cultural Understanding - Music,Medium,"Hip-hop emerged in the 1970s in the Bronx, New York, as a form of expression for marginalized communities. It combined music, dance, and visual art to tell stories of struggle and resistance.","O hip-hop emergiu nos anos 1970 no Bronx, Nova York, como uma forma de expressão para comunidades marginalizadas. Combinou música, dança e arte visual para contar histórias de luta e resistência.",Hip-hop originated as:,O hip-hop se originou como:,A commercial music genre,Um gênero musical comercial,A form of expression for marginalized communities,Uma forma de expressão para comunidades marginalizadas,A government-sponsored art program,Um programa artístico patrocinado pelo governo,An academic music style,Um estilo musical acadêmico,A European dance movement,Um movimento de dança europeu,B,The text states that hip-hop was a form of expression for marginalized communities.,O texto afirma que o hip-hop foi uma forma de expressão para comunidades marginalizadas.
9,Vocabulary - Cognates,Easy,The innovation in renewable energy technology has attracted international attention and investment.,A inovação em tecnologia de energia renovável atraiu atenção e investimento internacional.,Which word is a TRUE cognate (same meaning in English and Portuguese)?,Qual palavra é um cognato VERDADEIRO (mesmo significado em inglês e português)?,Actually (que na verdade significa 'na verdade'),Actually (que na verdade significa 'na verdade'),Innovation (inovação),Innovation (inovação),"Library (que significa 'biblioteca', não 'livraria')","Library (que significa 'biblioteca', não 'livraria')","Pretend (que significa 'fingir', não 'pretender')","Pretend (que significa 'fingir', não 'pretender')","Fabric (que significa 'tecido', não 'fábrica')","Fabric (que significa 'tecido', não 'fábrica')",B,Innovation is a true cognate - it has the same meaning in both English and Portuguese.,Innovation é um cognato verdadeiro - tem o mesmo significado em inglês e português.
10,Reading Comprehension - Environment,Hard,"Deforestation in the Amazon rainforest has reached alarming levels. Scientists estimate that if current rates continue, the forest could reach a tipping point within 15 years, transforming from a carbon sink into a carbon source, which would accelerate global warming dramatically.","O desmatamento na floresta amazônica atingiu níveis alarmantes. Cientistas estimam que se as taxas atuais continuarem, a floresta pode atingir um ponto de inflexão em 15 anos, transformando-se de sumidouro de carbono em fonte de carbono, o que aceleraria o aquecimento global dramaticamente.",The 'tipping point' mentioned refers to:,O 'ponto de inflexão' mencionado refere-se a:,When deforestation stops completely,Quando o desmatamento para completamente,When the forest starts growing again,Quando a floresta começa a crescer novamente,When the forest changes from absorbing to emitting carbon,Quando a floresta muda de absorver para emitir carbono,When global warming stops,Quando o aquecimento global para,When scientists stop their research,Quando cientistas param suas pesquisas,C,The tipping point describes when the forest transitions from a carbon sink (absorbing) to a carbon source (emitting).,O ponto de inflexão descreve quando a floresta transiciona de sumidouro de carbono (absorvendo) para fonte de carbono (emitindo).
11,Grammar - Conditionals,Medium,"If I had studied harder, I would have passed the exam.","Se eu tivesse estudado mais, eu teria passado no exame.",This sentence is an example of:,Esta frase é um exemplo de:,First conditional,Primeiro condicional,Second conditional,Segundo condicional,Third conditional,Terceiro condicional,Zero conditional,Condicional zero,Mixed conditional,Condicional misto,C,"Third conditional talks about unreal past situations (had + past participle, would have + past participle).","O terceiro condicional fala sobre situações passadas irreais (had + particípio passado, would have + particípio passado)."
12,Text Interpretation - Career,Easy,"WANTED: Marketing Manager. Must have 5+ years experience, excellent communication skills, and knowledge of digital marketing. Competitive salary and benefits package offered.","PROCURA-SE: Gerente de Marketing. Deve ter 5+ anos de experiência, excelentes habilidades de comunicação e conhecimento de marketing digital. Salário competitivo e pacote de benefícios oferecidos.",This text is:,Este texto é:,A news article,Um artigo de notícias,A job advertisement,Um anúncio de emprego,A book review,Uma resenha de livro,A scientific report,Um relatório científico,A personal letter,Uma carta pessoal,B,The format and content clearly indicate this is a job advertisement seeking a Marketing Manager.,O formato e conteúdo indicam claramente que este é um anúncio de emprego buscando um Gerente de Marketing.
13,Reading Comprehension - Travel,Medium,Sample English text for question 13 about Reading Comprehension - Travel. This text provides context for understanding the question.,Texto em português de exemplo para questão 13 sobre Reading Comprehension - Travel. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Travel?,Qual é a ideia principal deste texto sobre Reading Comprehension - Travel?,First option for question 13,Primeira opção para questão 13,Second option for question 13,Segunda opção para questão 13,Correct answer for question 13,Resposta correta para questão 13,Fourth option for question 13,Quarta opção para questão 13,Fifth option for question 13,Quinta opção para questão 13,C,Explanation for question 13 in English.,Explicação para questão 13 em português.
14,Vocabulary - False Cognates,Hard,Sample English text for question 14 about Vocabulary - False Cognates. This text provides context for understanding the question.,Texto em português de exemplo para questão 14 sobre Vocabulary - False Cognates. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - False Cognates?,Qual é a ideia principal deste texto sobre Vocabulary - False Cognates?,First option for question 14,Primeira opção para questão 14,Second option for question 14,Segunda opção para questão 14,Correct answer for question 14,Resposta correta para questão 14,Fourth option for question 14,Quarta opção para questão 14,Fifth option for question 14,Quinta opção para questão 14,C,Explanation for question 14 in English.,Explicação para questão 14 em português.
15,Cultural Text - Literature,Easy,Sample English text for question 15 about Cultural Text - Literature. This text provides context for understanding the question.,Texto em português de exemplo para questão 15 sobre Cultural Text - Literature. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Text - Literature?,Qual é a ideia principal deste texto sobre Cultural Text - Literature?,First option for question 15,Primeira opção para questão 15,Second option for question 15,Segunda opção para questão 15,Correct answer for question 15,Resposta correta para questão 15,Fourth option for question 15,Quarta opção para questão 15,Fifth option for question 15,Quinta opção para questão 15,C,Explanation for question 15 in English.,Explicação para questão 15 em português.
16,Grammar - Passive Voice,Medium,Sample English text for question 16 about Grammar - Passive Voice. This text provides context for understanding the question.,Texto em português de exemplo para questão 16 sobre Grammar - Passive Voice. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Passive Voice?,Qual é a ideia principal deste texto sobre Grammar - Passive Voice?,First option for question 16,Primeira opção para questão 16,Second option for question 16,Segunda opção para questão 16,Correct answer for question 16,Resposta correta para questão 16,Fourth option for question 16,Quarta opção para questão 16,Fifth option for question 16,Quinta opção para questão 16,C,Explanation for question 16 in English.,Explicação para questão 16 em português.
17,Text Interpretation - Comic Strip,Hard,Sample English text for question 17 about Text Interpretation - Comic Strip. This text provides context for understanding the question.,Texto em português de exemplo para questão 17 sobre Text Interpretation - Comic Strip. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Comic Strip?,Qual é a ideia principal deste texto sobre Text Interpretation - Comic Strip?,First option for question 17,Primeira opção para questão 17,Second option for question 17,Segunda opção para questão 17,Correct answer for question 17,Resposta correta para questão 17,Fourth option for question 17,Quarta opção para questão 17,Fifth option for question 17,Quinta opção para questão 17,C,Explanation for question 17 in English.,Explicação para questão 17 em português.
18,Reading Comprehension - Science,Easy,Sample English text for question 18 about Reading Comprehension - Science. This text provides context for understanding the question.,Texto em português de exemplo para questão 18 sobre Reading Comprehension - Science. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Science?,Qual é a ideia principal deste texto sobre Reading Comprehension - Science?,First option for question 18,Primeira opção para questão 18,Second option for question 18,Segunda opção para questão 18,Correct answer for question 18,Resposta correta para questão 18,Fourth option for question 18,Quarta opção para questão 18,Fifth option for question 18,Quinta opção para questão 18,C,Explanation for question 18 in English.,Explicação para questão 18 em português.
19,Vocabulary - Phrasal Verbs,Medium,Sample English text for question 19 about Vocabulary - Phrasal Verbs. This text provides context for understanding the question.,Texto em português de exemplo para questão 19 sobre Vocabulary - Phrasal Verbs. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - Phrasal Verbs?,Qual é a ideia principal deste texto sobre Vocabulary - Phrasal Verbs?,First option for question 19,Primeira opção para questão 19,Second option for question 19,Segunda opção para questão 19,Correct answer for question 19,Resposta correta para questão 19,Fourth option for question 19,Quarta opção para questão 19,Fifth option for question 19,Quinta opção para questão 19,C,Explanation for question 19 in English.,Explicação para questão 19 em português.
20,Cultural Understanding - History,Hard,Sample English text for question 20 about Cultural Understanding - History. This text provides context for understanding the question.,Texto em português de exemplo para questão 20 sobre Cultural Understanding - History. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Understanding - History?,Qual é a ideia principal deste texto sobre Cultural Understanding - History?,First option for question 20,Primeira opção para questão 20,Second option for question 20,Segunda opção para questão 20,Correct answer for question 20,Resposta correta para questão 20,Fourth option for question 20,Quarta opção para questão 20,Fifth option for question 20,Quinta opção para questão 20,C,Explanation for question 20 in English.,Explicação para questão 20 em português.
21,Grammar - Reported Speech,Easy,Sample English text for question 21 about Grammar - Reported Speech. This text provides context for understanding the question.,Texto em português de exemplo para questão 21 sobre Grammar - Reported Speech. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Grammar - Reported Speech?,Qual é a ideia principal deste texto sobre Grammar - Reported Speech?,First option for question 21,Primeira opção para questão 21,Second option for question 21,Segunda opção para questão 21,Correct answer for question 21,Resposta correta para questão 21,Fourth option for question 21,Quarta opção para questão 21,Fifth option for question 21,Quinta opção para questão 21,C,Explanation for question 21 in English.,Explicação para questão 21 em português.
22,Text Interpretation - Email,Medium,Sample English text for question 22 about Text Interpretation - Email. This text provides context for understanding the question.,Texto em português de exemplo para questão 22 sobre Text Interpretation - Email. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Text Interpretation - Email?,Qual é a ideia principal deste texto sobre Text Interpretation - Email?,First option for question 22,Primeira opção para questão 22,Second option for question 22,Segunda opção para questão 22,Correct answer for question 22,Resposta correta para questão 22,Fourth option for question 22,Quarta opção para questão 22,Fifth option for question 22,Quinta opção para questão 22,C,Explanation for question 22 in English.,Explicação para questão 22 em português.
23,Reading Comprehension - Travel,Hard,Sample English text for question 23 about Reading Comprehension - Travel. This text provides context for understanding the question.,Texto em português de exemplo para questão 23 sobre Reading Comprehension - Travel. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Reading Comprehension - Travel?,Qual é a ideia principal deste texto sobre Reading Comprehension - Travel?,First option for question 23,Primeira opção para questão 23,Second option for question 23,Segunda opção para questão 23,Correct answer for question 23,Resposta correta para questão 23,Fourth option for question 23,Quarta opção para questão 23,Fifth option for question 23,Quinta opção para questão 23,C,Explanation for question 23 in English.,Explicação para questão 23 em português.
24,Vocabulary - False Cognates,Easy,Sample English text for question 24 about Vocabulary - False Cognates. This text provides context for understanding the question.,Texto em português de exemplo para questão 24 sobre Vocabulary - False Cognates. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Vocabulary - False Cognates?,Qual é a ideia principal deste texto sobre Vocabulary - False Cognates?,First option for question 24,Primeira opção para questão 24,Second option for question 24,Segunda opção para questão 24,Correct answer for question 24,Resposta correta para questão 24,Fourth option for question 24,Quarta opção para questão 24,Fifth option for question 24,Quinta opção para questão 24,C,Explanation for question 24 in English.,Explicação para questão 24 em português.
25,Cultural Text - Literature,Medium,Sample English text for question 25 about Cultural Text - Literature. This text provides context for understanding the question.,Texto em português de exemplo para questão 25 sobre Cultural Text - Literature. Este texto fornece contexto para entender a questão.,What is the main idea of this text about Cultural Text - Literature?,Qual é a ideia principal deste texto sobre Cultural Text - Literature?,First option for question 25,Primeira opção para questão 25,Second option for question 25,Segunda opção para questão 25,Correct answer for question 25,Resposta correta para questão 25,Fourth option for question 25,Quarta opção para questão 25,Fifth option for question 25,Quinta opção para questão 25,C,Explanation for question 25 in English.,Explicação para questão 25 em português.
